main_category,subcategory,sub_subcategory,title,price,rating,url,price_usd,title_length,brand_name,price_category
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Ulefone Armor 27T Pro 5G Thermal Imaging 24GB 256GB 50MP Dual Camera 64MP Night Vision Dimensity 6300 6.78 inch 120Hz 10600mAh 33W Fast Charge 30W Wireless Charge Android 14 NFC IP68 IP69K Waterproof Rugged Smartphone,US$361.99,,https://www.banggood.com/Ulefone-Armor-27T-Pro-5G-Thermal-Imaging-24GB-256GB-50MP-Dual-Camera-64MP-Night-Vision-Dimensity-6300-6_78-inch-120Hz-10600mAh-33W-Fast-Charge-30W-Wireless-Charge-Android-14-NFC-IP68-IP69K-Waterproof-Rugged-Smartphone-p-2020211.html?rmmds=PhonesFlashDeals&cur_warehouse=HK&ID=62464446287830,361.99,217,Ulefone,High
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,[GaN Tech] Blitzwolf® BW-S31 240W 6-Port USB PD Charger 4USB-C+2USB-A QC PD Digital Display Fast Charging Desktop Charging Station for iPhone 16 16 Pro 15 14 13 Pro Max for MacBook Pro for Airpods for Apple Watch,US$35.99,,https://www.banggood.com/GaN-Tech-Blitzwolf-BW-S31-240W-6-Port-USB-PD-Charger-4USB-C+2USB-A-QC-PD-Digital-Display-Fast-Charging-Desktop-Charging-Station-for-iPhone-16-16-Pro-15-14-13-Pro-Max-for-MacBook-Pro-for-Airpods-for-Apple-Watch-p-2035160.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,35.99,212,GaN,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,MOVESPEED M25Pro 145W 25000mAh Power Bank LED Display External Battery Power Supply with 1 Input & 3 Outputs Support PD3.1 Fast Charging for iPhone 16 16 Pro 15 14 13 Pro Max for Xiaomi 15pro for Samsung Galaxy S25 Ultra,US$69.99,,https://www.banggood.com/MOVESPEED-M25Pro-145W-25000mAh-Power-Bank-LED-Display-External-Battery-Power-Supply-with-1-Input-and-3-Outputs-Support-PD3_1-Fast-Charging-for-iPhone-16-16-Pro-15-14-13-Pro-Max-for-Xiaomi-15pro-for-Samsung-Galaxy-S25-Ultra-p-2043779.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287853,69.99,220,MOVESPEED,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Q8 Mini 2G/4G GSM 2.4 Inch Dual SIM Card 16800mAh FM Big Buttons SOS Keys Speed Dial Dual LED Flashlight Loud Volume Shockproof Mobile Phone,US$24.99,,https://www.banggood.com/Q8-Mini-2G-or-4G-GSM-2_4-Inch-Dual-SIM-Card-16800mAh-FM-Big-Buttons-SOS-Keys-Speed-Dial-Dual-LED-Flashlight-Loud-Volume-Shockproof-Mobile-Phone-p-2026224.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=62878306297506,24.99,140,Q8,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,120W USB-A to Type-C Cable with Digital Display Fast Charging Data Transmission Copper Core Line 1M/2M Long for iPhone 15 15 Plus for Huawei Pura 70 Ultra for Xiaomi Civi 4 Pro for Samsung Galaxy S24,US$4.74,,https://www.banggood.com/120W-USB-A-to-Type-C-Cable-with-Digital-Display-Fast-Charging-Data-Transmission-Copper-Core-Line-1M-or-2M-Long-for-iPhone-15-15-Plus-for-Huawei-Pura-70-Ultra-for-Xiaomi-Civi-4-Pro-for-Samsung-Galaxy-S24-p-2018312.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=5673716327974,4.74,199,120W,Low
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,[GaN Tech]Blitzwolf BW-i116 Max 105W 6-in-1 Power Combo Desktop Charger Station with Built-in Dual Telescopic Type-C Cable + USB-A+USB-C + 2-in-1 Wireless Charger for Smart Phones for iPhone 16 16 Pro 15 14,US$39.99,,https://www.banggood.com/GaN-TechBlitzwolf-BW-i116-Max-105W-6-in-1-Power-Combo-Desktop-Charger-Station-with-Built-in-Dual-Telescopic-Type-C-Cable-+-USB-A+USB-C-+-2-in-1-Wireless-Charger-for-Smart-Phones-for-iPhone-16-16-Pro-15-14-p-2038973.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,39.99,206,GaN,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,LDNIO MV21 15W Wireless Charger Car Phone Holder Grip Mobile Clamp Stand Retractable Base Bracket Support for IPhone 15 14 13 for Samsung Galaxy S24 for Huawei Pura 70 Ultra,US$9.99,,https://www.banggood.com/LDNIO-MV21-15W-Wireless-Charger-Car-Phone-Holder-Grip-Mobile-Clamp-Stand-Retractable-Base-Bracket-Support-for-IPhone-15-14-13-for-Samsung-Galaxy-S24-for-Huawei-Pura-70-Ultra-p-2016918.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6284228,9.99,173,LDNIO,Low
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Mini bluetooth GPS Tracker Anti-Lost Pet Kids Wallet Key bag Positioning Smart BT Find Locator Tag Alarm Reminder for Ios Android,US$5.22,,https://www.banggood.com/Mini-bluetooth-GPS-Tracker-Anti-Lost-Pet-Kids-Wallet-Key-bag-Positioning-Smart-BT-Find-Locator-Tag-Alarm-Reminder-for-Ios-Android-p-2022714.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,5.22,129,Mini,Low
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Ulefone Armor X32 Pro 5G 16GB 256GB 64MP Triple Camera 25MP Night Vision 5.65 inch 5500mAh Android 14 NFC Dimensity 6300 IP68 IP69K Waterproof Rugged Smartphone,,,https://www.banggood.com/Ulefone-Armor-X32-Pro-5G-16GB-256GB-64MP-Triple-Camera-25MP-Night-Vision-5_65-inch-5500mAh-Android-14-NFC-Dimensity-6300-IP68-IP69K-Waterproof-Rugged-Smartphone-p-2031445.html?rmmds=PhonesFlashDeals&cur_warehouse=HK&ID=6287837,24.99,160,Ulefone,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,BlitzWolf® BK-385 48W 4 USB Ports QC 3.0 Fast Charger Wall Travel Charging EU Plug Adapter For iPhone 14 14 Plus 14 Pro Max for iPad Pro For Samsung Galaxy S22 Ultra Galaxy Z Flip 4 For Xiaomi Mi 12T Redmi Note 12,,,https://www.banggood.com/BlitzWolf-BK-385-48W-4-USB-Ports-QC-3_0-Fast-Charger-Wall-Travel-Charging-EU-Plug-Adapter-For-iPhone-14-14-Plus-14-Pro-Max-for-iPad-Pro-For-Samsung-Galaxy-S22-Ultra-Galaxy-Z-Flip-4-For-Xiaomi-Mi-12T-Redmi-Note-12-p-1996861.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,24.99,213,BlitzWolf®,Medium
